bm23_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
612,28.50485546985668960929,28.50501835243858650415,28.50593068176787170387,15,0.01177500000000009095,0.06368900000000010664,4,8.06974200000013297540,0.04118700000000785622,
613,28.50613471336422932723,28.50628030177574601112,28.50671192885337745793,14,0.01126699999999969393,0.04635200000000061493,5,6.89471400000002176967,0.04658100000000331420,
614,28.50633562510369145571,28.50698306977182738819,28.50747579444639612234,19,0.01779000000000019455,0.06325600000000086709,9,8.72205900000017209095,0.04244499999998652129,
615,28.50760788622676145110,28.50812824237720732867,28.50878733902657558019,17,0.01393099999999991567,0.06260399999999854970,5,9.18836299999975381070,0.05169899999999927331,
616,28.50853533547910245716,28.50850384443250007394,28.50937184330387452746,16,0.01205600000000028871,0.05221200000000081332,2,7.66148599999996804399,0.04595199999999977081,
617,28.50960777640438337244,28.50968708236557347391,28.51020875056746817222,14,0.01098999999999961119,0.06705100000000108196,4,8.54678999999987354386,0.04820700000000499585,
618,28.50980715771039797346,28.51009124110607473312,28.51050286071189887593,15,0.01169300000000017548,0.04399599999999992406,5,8.75345000000015716068,0.05314099999999655211,
619,28.51054595662135682232,28.51055441486378327909,28.51092516243981478397,15,0.01118299999999994299,0.05433200000000049101,3,9.76487799999995331746,0.03875200000000234013,
620,28.51061707446547899281,28.51079413621569358384,28.51132112296034293308,18,0.01320699999999996876,0.05422999999999866816,8,8.88255100000014863326,0.04604600000000402815,
621,28.51097721508282845093,28.51141038319614651186,28.51221251409379675579,15,0.01197600000000020870,0.05648300000000006094,4,8.48939500000005864422,0.02865300000000559066,
622,28.51237368741434252684,28.51146426477365380947,28.51278401263645534414,15,0.01017899999999993810,0.04807399999999972806,6,7.65468599999985599425,0.02541099999999119063,
623,28.51260898621042727541,28.51229734694009820828,28.51314527017114741625,15,0.00990700000000011016,0.06033200000000071839,5,9.06266400000004068715,0.03993699999999478223,
624,28.51264041979815644368,28.51243553864148339017,28.51346535088464761998,12,0.01141799999999992821,0.04729599999999933857,7,8.87692599999991216464,0.02345199999999181273,
625,28.51277767127964679617,28.51280642598707615321,28.51363661318283249102,11,0.01218800000000008765,0.08405100000000054195,6,7.94547499999998763087,0.03070200000000511409,
626,28.51363328528895735303,28.51310755140660191387,28.51457806941451522675,13,0.01290399999999980452,0.06784900000000071429,6,8.22297000000025946065,0.03309200000001055741,
627,28.51388501554817267447,28.51437799646594939418,28.51528205945984595360,15,0.00985300000000011167,0.04462999999999972545,15,8.53896999999960826244,0.04732400000000325235,
628,28.51542697601270148766,28.51492935977461584685,28.51635548274200360197,16,0.01450400000000007239,0.06223899999999993327,3,9.50964800000019749859,0.04649699999998802014,
629,28.51622242453547784180,28.51535933065443373380,28.51665345580865107422,15,0.01356000000000001648,0.07671500000000008868,10,7.80632800000012139208,0.04619099999999320971,
630,28.51668815259164091458,28.51665843081690709937,28.51721482855174372162,18,0.01383199999999984442,0.05187600000000003320,9,8.85240399999975124956,0.05723000000000411092,
631,28.51687629409043367446,28.51758845218273563660,28.51804797882402553455,19,0.01883800000000013242,0.05826299999999839940,3,8.94745100000000093132,0.04754900000000361615,
632,28.51744391573225811953,28.51777688513002928516,28.51825070717518428864,19,0.01556299999999977146,0.05597400000000085640,5,9.54438200000004144385,0.03456299999999146166,
633,28.51749433795518839929,28.51791873002754940103,28.51836312280700624910,17,0.02585700000000024090,0.04107100000000052376,2,10.40453500000012354576,0.04919300000000248474,
634,28.51792611301773661125,28.51817518541147933320,28.51864437474650415538,14,0.01077099999999964197,0.06695400000000084617,3,10.69878599999992729863,0.04391600000001005810,
635,28.51854888416661992778,28.51844149685438267738,28.51892030397254629293,18,0.01531700000000002504,0.05521799999999998931,3,8.66600900000003093737,0.05033000000000242835,
636,28.51889989012988735340,28.51881261425807423393,28.51924563120391908910,20,0.01558000000000037133,0.07314299999999995805,3,7.94013899999981731526,0.05735999999998853127,
637,28.51893917584993687342,28.51884411096999016877,28.51931941098396805501,14,0.01040099999999988256,0.06120199999999975660,3,8.41206300000021656160,0.04081200000000251293,
638,28.51898310212968468136,28.51890224591409150889,28.51936698440129447363,13,0.01232199999999972206,0.04532600000000108764,3,8.25849100000004909816,0.03642999999999574356,
639,28.51910273753508917594,28.51934746889502392264,28.51948035064998521193,9,0.01029000000000035442,0.06310500000000018872,3,8.59677599999986341572,0.03493199999999774263,
640,28.51947274807250920503,28.51941892865603733753,28.51957176382551395477,13,0.01784199999999991348,0.08975700000000230716,8,9.46687199999996664701,0.04723399999998889598,
641,28.51947274807250920503,28.51971477984926650606,28.51989829881231486297,14,0.01398699999999974963,0.02270699999999692409,11,9.64653499999985797331,0.07064899999998885960,
642,28.51959249533057416670,28.52038543794998659564,28.52075448036686111664,18,0.01573200000000030130,0.04021900000000044884,4,8.57222700000011172961,0.07396999999998854491,
643,28.52116432897951980863,28.52508435503554906632,28.52540335601132071019,12,0.01103299999999984848,0.07280300000000039518,3,7.11370500000020911102,0.04129100000000107684,
644,28.52539651472882553662,28.52546516612781957178,28.52605643431997606285,11,0.00993699999999986261,0.04970900000000000318,11,6.02981999999974505045,0.02700699999999756074,
645,28.52564742846518797137,28.52618000956628918630,28.52684607051656939802,8,0.00886699999999995825,0.03265000000000028990,7,4.68401399999993373058,0.02900199999999131251,
646,28.52645569096959121680,28.52665437146776383770,28.52702218079263829509,10,0.00880999999999998451,0.03480899999999920169,9,5.84555200000022523454,0.04836500000000398813,
647,28.52670725939185203401,28.52672411472194013982,28.52716133892387873061,7,0.00699200000000033128,0.03269099999999980355,8,5.69895799999994778773,0.02825699999999642387,
648,28.52701058545284595880,28.52685894610169725638,28.52747677303906570501,9,0.00909799999999982845,0.06745000000000089813,5,6.49818300000015369733,0.03778099999999540159,
649,28.52768861680684153725,28.52704400508530468983,28.52839743724340948461,11,0.01015399999999999636,0.05067599999999927718,2,8.75871999999981198926,0.03623699999999985266,
650,28.52859775579930357026,28.52882310343253280394,28.52920675608295653092,17,0.01381699999999996820,0.06152099999999904867,5,10.01994100000001708395,0.04769199999999784723,
651,28.52869890116576101491,28.52882829763586514105,28.52958500127947871761,19,0.01584500000000010900,0.07163300000000205614,19,7.78403100000014092075,0.04194400000000086948,
652,28.52880124636071457189,28.52941067555243748188,28.53034910390485379139,13,0.01172299999999992792,0.05405700000000024374,4,7.78311799999983122689,0.03787899999998955991,
653,28.52956682860448722749,28.53068480109101656694,28.53103277554583883102,16,0.01461500000000004462,0.05501699999999942747,4,8.98082100000010541407,0.05110700000000178989,
654,28.53098410631561776540,28.53090586401999217969,28.53135137235649665399,14,0.01142900000000013350,0.04412800000000061118,3,6.69949799999994866084,0.07012799999999685951,
655,28.53110153623784128740,28.53116739553362890547,28.53163007734724487818,14,0.01728599999999946846,0.05591199999999929560,5,9.07302299999992101220,0.06063600000000235468,
656,28.53137611003959506206,28.53178124402980131435,28.53210624652332327855,16,0.01520800000000033236,0.07137099999999918509,2,10.23294600000008358620,0.04982900000000256568,
657,28.53204327002305618066,28.53215492812498155217,28.53327552940814371141,15,0.01439099999999982060,0.07455099999999958982,4,7.79989100000011603697,0.05218100000000447380,
658,28.53274961871271386826,28.53366141287890300759,28.53391912059803203761,15,0.01196300000000061203,0.04901500000000069690,2,8.15120799999976952677,0.05001900000000603086,
659,28.53398526903360377105,28.53414001935275123856,28.53469281268182911049,16,0.02031799999999961415,0.04558100000000209207,7,8.31075800000007802737,0.04916000000000053660,
660,28.53459146560062009712,28.53457905271057626351,28.53484001345070097955,9,0.00945399999999985141,0.07468099999999822103,8,6.99031500000000960426,0.04504000000000019099,
661,28.53490219281096784698,28.53546434622420591154,28.53583778393289449582,6,0.00990599999999997038,0.05399500000000045929,4,7.71141299999999318970,0.03751499999999907686,
662,28.53583888518137001711,28.53574674443661862711,28.53652799188552791065,11,0.00975199999999976086,0.06422299999999836473,10,8.19530299999996714178,0.04367700000000240834,
663,28.53620936279261854907,28.53609430881950714820,28.53708894379704119615,16,0.01969700000000074169,0.05176900000000017599,8,7.35909500000025218469,0.04594199999999659667,
664,28.53705272446386587148,28.53630976841196797977,28.53794786348276346644,15,0.01088099999999947443,0.06304299999999685156,3,7.60820100000000820728,0.04427000000001157787,
665,28.53752384086959992260,28.53808060830449377931,28.53835735760097946923,16,0.01274200000000025312,0.06756599999999934880,3,8.50737200000003213063,0.04983799999999405372,
666,28.53800345826623185985,28.53824856792263631178,28.53863040863781463941,12,0.01159299999999952036,0.05122899999999930287,4,8.23279000000002270099,0.04674400000000389355,
667,28.53876126406828106497,28.53838925540186721719,28.53898294355166598280,16,0.01882300000000025619,0.07895199999999746865,4,8.06310899999971297802,0.03871499999999628017,
668,28.53888654994605644788,28.53957897238814211960,28.53986937962262615542,14,0.01033200000000000784,0.05382600000000081764,6,7.18363499999986743205,0.04893699999999512329,
669,28.53956033023766636347,28.54035167328106226137,28.54108507579896780726,16,0.01241400000000059123,0.05292799999999786564,11,9.17838700000038443250,0.05465399999999931424,
670,28.54069426450954694019,28.54054826429612745642,28.54138541875775558765,16,0.01563999999999943213,0.05609700000000117370,13,8.93562899999960791320,0.06373999999999568900,
671,28.54106162228791276902,28.54133186415812772907,28.54204763100555908295,18,0.01691600000000015314,0.03815200000000018576,7,9.47205200000007607741,0.06253800000000353521,
672,28.54192700165663154621,28.54183020842081219826,28.54257477813308341297,15,0.01148300000000013199,0.06836900000000056821,16,9.64887399999997796840,0.04447400000000811815,
673,28.54244725859295073178,28.54198187119837726300,28.54308842849084371096,15,0.01379500000000000171,0.08111600000000152022,5,8.05070700000032957178,0.04432500000000061391,
674,28.54294653680972615462,28.54285596808717073714,28.54440764629359250648,15,0.01736599999999999255,0.05614299999999872171,6,7.66074799999978495180,0.06109299999999961983,
675,28.54411325529265042178,28.54502764825637584067,28.54779244443798091879,19,0.01649100000000025545,0.05403199999999941383,18,9.38582399999995686812,0.06327999999999178726,
