d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
20,12425.64665001306639169343,12425.58300545183374197222,12425.64665001306639169343,145,0.24189900000000008617,0.55116100000000045611,0,0.00000000000000000000,0.00000000000000000000,
21,12425.64667565257695969194,12425.58300545183374197222,12425.64667565257695969194,150,0.25134500000000015163,7.24358799999999902752,0,0.00000000000000000000,0.00000000000000000000,
22,12425.64669918277286342345,12425.58300545183374197222,12425.64669918277286342345,148,0.29585299999999969955,13.24341700000000088266,0,0.00000000000000000000,0.00000000000000000000,
23,12425.64670545802800916135,12425.58300545183374197222,12425.64670545802800916135,146,0.31240400000000034808,0.73112400000000121736,0,0.00000000000000000000,0.00000000000000000000,
24,12425.64671342305155121721,12425.58300545183374197222,12425.64671342305155121721,145,0.31831299999999984607,0.71335099999999940223,0,0.00000000000000000000,0.00000000000000000000,
25,12425.64672513201730907895,12425.58300545183374197222,12425.64672513201730907895,141,0.29495199999999988094,0.69959099999999807551,0,0.00000000000000000000,0.00000000000000000000,
26,12425.64675861885916674510,12425.58300545183374197222,12425.64675861885916674510,149,0.35302900000000025926,1.00780699999999967531,0,0.00000000000000000000,0.00000000000000000000,
27,12425.64679159895240445621,12425.58300545183374197222,12425.64679159895240445621,142,0.33391500000000018389,0.86978799999999623083,0,0.00000000000000000000,0.00000000000000000000,
28,12425.64683527490160486195,12425.58300545183374197222,12425.64683527490160486195,145,0.37902899999999917213,61.01481000000000420869,0,0.00000000000000000000,0.00000000000000000000,
29,12425.64686863116912718397,12425.58300545183374197222,12425.64686863116912718397,149,0.41461300000000012034,1.12005999999999517058,0,0.00000000000000000000,0.00000000000000000000,
30,12425.64689502643159357831,12425.58300545183374197222,12425.64689502643159357831,144,0.42679700000000053706,1.27948599999999146348,0,0.00000000000000000000,0.00000000000000000000,
31,12425.64692067284158838447,12425.58300545183374197222,12425.64692067284158838447,148,0.44607999999999936591,42.11875000000000568434,0,0.00000000000000000000,0.00000000000000000000,
32,12425.64693924925813917071,12425.58300545183374197222,12425.64693924925813917071,142,0.44563600000000036516,1.48991799999998875137,0,0.00000000000000000000,0.00000000000000000000,
33,12425.64694896727451123297,12425.58300545183374197222,12425.64694896727451123297,143,0.45906599999999997408,78.97509999999999763531,0,0.00000000000000000000,0.00000000000000000000,
34,12425.64695886609661101829,12425.58300545183374197222,12425.64695886609661101829,137,0.46653799999999989723,1.47457900000000563523,0,0.00000000000000000000,0.00000000000000000000,
