mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
115,87155.25940686458488926291,87155.85683040210278704762,87155.87750805189716629684,38,0.04763000000000028322,0.24535600000000012955,51,22.94125600000006670598,0.44147200000000452746,
116,87155.27627335245779249817,87155.98473236836434807628,87155.98525580707064364105,38,0.05352999999999985548,0.08573300000000028120,49,21.77269300000000384898,0.88784599999999613829,
117,87155.38198417583771515638,87156.11907755798893049359,87156.11907755798893049359,38,0.06157000000000012463,0.11906199999999955708,56,28.78936199999998279964,0.70375599999999849388,
118,87155.77194080417393706739,87156.13975932344328612089,87156.15956402708252426237,35,0.05502899999999977254,0.28737600000000007583,51,24.28146700000002056186,0.26755800000000817818,
119,87155.82510841828479897231,87156.34964681898418348283,87156.34964681898418348283,36,0.05140900000000003800,0.13633000000000006224,53,28.77672899999993205711,0.83575200000001359513,
120,87155.89584836074209306389,87156.64333038138283882290,87156.64333038132463116199,36,0.06491000000000024528,0.24284299999999969799,54,27.03229099999998652493,0.58021500000000969521,
121,87156.02614627622824627906,87156.82388730977254454046,87156.82388730978709645569,33,0.04732999999999965013,0.22803400000000095815,50,24.80610500000000229193,0.65455799999998021121,
122,87156.09943188089528121054,87156.95693287368339952081,87156.96093981603917200118,33,0.06090600000000012670,0.18932399999999915963,55,23.62490200000002005254,0.74170900000001438457,
123,87156.22751137576415203512,87157.11151016462827101350,87157.11151016464282292873,36,0.05420699999999989416,0.20653899999999936199,58,31.57888800000011997327,0.60578799999998977910,
124,87156.36021211929619312286,87157.26026072703825775534,87157.26156375872960779816,37,0.06601300000000032142,0.28790899999999908232,54,30.18531699999994089012,0.57920300000000679574,
125,87156.46087735472247004509,87157.53103917512635234743,87157.53103917519911192358,37,0.07062499999999971578,0.27101199999999892043,58,30.16001000000005660695,1.10137400000002116940,
126,87156.50991308566881343722,87157.90327649719256442040,87157.90327649719256442040,41,0.06878699999999993153,0.21086099999999952104,59,32.58394799999996394035,0.92052899999998771818,
127,87156.53609198672347702086,87158.15016714134253561497,87158.15016714132798369974,35,0.06329800000000007643,0.15296200000000048647,60,32.75451699999985066825,0.66456199999998943895,
128,87156.77625176677247509360,87158.35946616709406953305,87158.36409152144915424287,34,0.07091700000000011883,0.27124500000000040245,59,32.95737600000006750633,0.83617100000000732507,
129,87156.78410043113399296999,87158.43552472542796749622,87158.44010580980102531612,36,0.06789299999999975910,0.09145499999999984198,66,29.94472700000005715992,0.80351600000000189539,
130,87156.82268651276535820216,87158.62536687130341306329,87158.62536687125975731760,40,0.08821700000000021191,0.14927099999999882129,66,33.90974800000003597233,0.91970399999999585816,
131,87156.84393637673929333687,87158.83310311919194646180,87158.83310311920649837703,40,0.06721399999999988495,0.11593900000000090245,60,27.55430699999988064519,0.87185999999999808097,
132,87156.84393637673929333687,87159.05652046717295888811,87159.05652046708564739674,34,0.08151600000000014390,0.03792499999999954241,59,35.12080000000014479156,0.90786899999997672239,
133,87156.84996507251344155520,87159.28239125905383843929,87159.28514710594026837498,33,0.07775199999999982126,0.09283300000000060948,54,30.80440099999987069168,0.69295099999999365536,
134,87157.10496679379139095545,87159.36790462103090249002,87159.37683292847941629589,40,0.09033800000000002939,0.19658899999999945862,59,34.07290600000010272197,0.52736399999997729537,
135,87157.12231640906247776002,87159.57459709726390428841,87159.57459709722024854273,37,0.08514700000000008373,0.09181099999999986494,56,33.81700000000000727596,1.24370099999998728890,
136,87157.12255734777136240155,87159.62124885083176195621,87159.62542998825665563345,37,0.08631199999999994432,0.05822399999999916531,59,27.48290799999995215330,0.52545000000000641194,
137,87157.12348956213099882007,87159.68619412396219559014,87159.68619412396219559014,40,0.08262299999999989097,0.05554000000000058890,60,27.19805099999985031900,0.65487200000001166700,
138,87157.13184080744395032525,87159.69200857309624552727,87159.69697685433493461460,41,0.09223800000000048627,0.09680999999999961858,61,35.62117400000011002703,0.39880600000000754335,
139,87157.15761055069742724299,87159.95469037586008198559,87159.95469037586008198559,39,0.08589499999999983260,0.14022000000000112152,62,33.26675099999988560739,1.15543099999999299143,
140,87157.53305096631811466068,87160.04720975419331807643,87160.05982266849605366588,34,0.07344699999999981799,0.24241699999999966053,54,32.25404200000002674642,0.88127599999998551539,
141,87157.64088732027448713779,87160.26917501210118643939,87160.26917501205753069371,35,0.07315900000000041814,0.20410700000000048249,57,32.41936299999997572741,1.01688300000000708678,
142,87157.69004577508894726634,87160.44636414533306378871,87160.44636414528940804303,38,0.07830999999999921357,0.13881199999999971340,60,33.90685700000017277489,1.65907500000000140972,
143,87157.95451535136089660227,87160.62509575745207257569,87160.62509575746662449092,33,0.07245400000000046248,0.34873699999999985266,61,35.56494499999985237082,1.61076299999999150714,
