mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
91,86326.27754,86195.86303,86326.27754,22,0.007336,0.02392,0,0,0,2.385658,0.003407
92,86326.27771,86195.86303,86326.27771,22,0.007437,0.052651,0,0,0,2.445746,0.003407
93,86326.2785,86195.86303,86326.2785,21,0.007556,0.063583,0,0,0,2.516885,0.003407
94,86326.27848,86195.86303,86326.27848,22,0.007762,0.04127,0,0,0,2.565917,0.003407
95,86326.27878,86195.86303,86326.27878,23,0.009187,0.048008,0,0,0,2.623112,0.003407
96,86326.27904,86195.86303,86326.27904,23,0.008248,0.045718,0,0,0,2.677078,0.003407
97,86326.27944,86195.86303,86326.27944,23,0.008345,0.038127,0,0,0,2.72355,0.003407
98,86326.28233,86195.86303,86326.28233,20,0.007326,0.050151,0,0,0,2.781027,0.003407
99,86326.28283,86195.86303,86326.28283,21,0.007805,0.033674,0,0,0,2.822506,0.003407
100,86326.28345,86195.86303,86326.28345,22,0.008264,0.046444,0,0,0,2.877214,0.003407
101,86326.28538,86195.86303,86326.28538,23,0.00872,0.036867,0,0,0,2.922801,0.003407
102,86326.2863,86195.86303,86326.2863,22,0.008073,0.039205,0,0,0,2.970079,0.003407
103,86326.28672,86195.86303,86326.28672,24,0.008961,0.046505,0,0,0,3.025545,0.003407
104,86326.28789,86195.86303,86326.28789,23,0.008749,0.039421,0,0,0,3.073715,0.003407
105,86326.28854,86195.86303,86326.28854,22,0.008388,0.046193,0,0,0,3.128296,0.003407
106,86326.28922,86195.86303,86326.28922,20,0.00776,0.062495,0,0,0,3.198551,0.003407
107,86326.28999,86195.86303,86326.28999,21,0.008422,0.044076,0,0,0,3.251049,0.003407
108,86326.29176,86195.86303,86326.29176,22,0.008643,0.048768,0,0,0,3.30846,0.003407
109,86326.29319,86195.86303,86326.29319,22,0.008951,0.054366,0,0,0,3.371777,0.003407
110,86326.29407,86195.86303,86326.29407,21,0.008676,0.039439,0,0,0,3.419892,0.003407
111,86326.2946,86195.86303,86326.2946,21,0.008491,0.056298,0,0,0,3.484681,0.003407
112,86326.29477,86195.86303,86326.29477,22,0.00913,0.058893,0,0,0,3.552704,0.003407
113,86326.29497,86195.86303,86326.29497,22,0.008906,0.057926,0,0,0,3.619536,0.003407
114,86326.2951,86195.86303,86326.2951,23,0.00941,0.043039,0,0,0,3.671985,0.003407
115,86326.2953,86195.86303,86326.2953,21,0.009226,0.063334,0,0,0,3.744545,0.003407
116,86326.29537,86195.86303,86326.29537,21,0.008978,0.052322,0,0,0,3.805845,0.003407
117,86326.29591,86195.86303,86326.29591,23,0.009717,0.039215,0,0,0,3.854777,0.003407
118,86326.29597,86195.86303,86326.29597,23,0.009807,0.04001,0,0,0,3.904594,0.003407
119,86326.2965,86195.86303,86326.2965,21,0.009278,0.052563,0,0,0,3.966435,0.003407
120,86326.29741,86195.86303,86326.29741,23,0.010049,0.051359,0,0,0,4.027843,0.003407
121,86326.29866,86195.86303,86326.29866,23,0.009932,0.056789,0,0,0,4.094564,0.003407
122,86326.30032,86195.86303,86326.30032,21,0.009886,0.051741,0,0,0,4.156191,0.003407
123,86326.30184,86195.86303,86326.30184,21,0.009454,0.04766,0,0,0,4.213305,0.003407
124,86326.30306,86195.86303,86326.30306,21,0.009367,0.053876,0,0,0,4.276548,0.003407
125,86326.3037,86195.86303,86326.3037,23,0.010774,0.054579,0,0,0,4.341901,0.003407
126,86326.30409,86195.86303,86326.30409,23,0.010427,0.050271,0,0,0,4.402599,0.003407
127,86326.30426,86195.86303,86326.30426,21,0.009461,0.063435,0,0,0,4.475495,0.003407
128,86326.30476,86195.86303,86326.30476,21,0.009859,0.058365,0,0,0,4.543719,0.003407
129,86326.30512,86195.86303,86326.30512,23,0.010763,0.062804,0,0,0,4.617286,0.003407
130,86326.30522,86195.86303,86326.30522,23,0.010868,0.060388,0,0,0,4.688542,0.003407
131,86326.30542,86195.86303,86326.30542,21,0.010492,0.0648,0,0,0,4.763834,0.003407
132,86326.30561,86195.86303,86326.30561,22,0.010471,0.074373,0,0,0,4.848678,0.003407
133,86326.30589,86195.86303,86326.30589,22,0.010522,0.067294,0,0,0,4.926494,0.003407
134,86326.30576,86195.86303,86326.30576,22,0.011086,0.083915,0,0,0,5.021495,0.003407
135,86326.30594,86195.86303,86326.30594,21,0.010443,0.060258,0,0,0,5.092196,0.003407
136,86326.30595,86195.86303,86326.30595,23,0.011499,0.070185,0,0,0,5.17388,0.003407
137,86326.30608,86195.86303,86326.30608,22,0.011387,0.076747,0,0,0,5.262014,0.003407
138,86326.30612,86195.86303,86326.30612,22,0.010937,0.076342,0,0,0,5.349293,0.003407
139,86326.30654,86195.86303,86326.30654,22,0.011023,0.115755,0,0,0,5.476071,0.003407
140,86326.30621,86195.86303,86326.30621,20,0.010378,0.09364,0,0,0,5.580089,0.003407
141,86326.30642,86195.86303,86326.30642,21,0.01083,0.077124,0,0,0,5.668043,0.003407
142,86326.30671,86195.86303,86326.30671,24,0.012246,0.060164,0,0,0,5.740453,0.003407
143,86326.307,86195.86303,86326.307,23,0.011871,0.059012,0,0,0,5.811336,0.003407
144,86326.30703,86195.86303,86326.30703,21,0.011977,0.059785,0,0,0,5.883098,0.003407
145,86326.30724,86195.86303,86326.30724,22,0.011474,0.085701,0,0,0,5.980273,0.003407
146,86326.30741,86195.86303,86326.30741,21,0.011067,0.072434,0,0,0,6.063774,0.003407
147,86326.3076,86195.86303,86326.3076,22,0.01256,0.076338,0,0,0,6.152672,0.003407
148,86326.30769,86195.86303,86326.30769,23,0.012133,0.062205,0,0,0,6.22701,0.003407
149,86326.30794,86195.86303,86326.30794,22,0.012358,0.064409,0,0,0,6.303777,0.003407
150,86326.30805,86195.86303,86326.30805,22,0.012531,0.117122,0,0,0,6.43343,0.003407
151,86326.30808,86195.86303,86326.30808,21,0.012228,0.076377,0,0,0,6.522035,0.003407
152,86326.30816,86195.86303,86326.30816,24,0.013232,0.095063,0,0,0,6.63033,0.003407
153,86326.30824,86195.86303,86326.30824,23,0.012484,0.054878,0,0,0,6.697692,0.003407
154,86326.30823,86195.86303,86326.30823,22,0.012236,0.180272,0,0,0,6.8902,0.003407
155,86326.30835,86195.86303,86326.30835,22,0.012351,0.106199,0,0,0,7.00875,0.003407
156,86326.30822,86195.86303,86326.30822,21,0.01194,0.119806,0,0,0,7.140496,0.003407
157,86326.30832,86195.86303,86326.30832,22,0.012479,0.083203,0,0,0,7.236178,0.003407
158,86326.30833,86195.86303,86326.30833,22,0.012539,0.06869,0,0,0,7.317407,0.003407
159,86326.30842,86195.86303,86326.30842,23,0.01315,0.082491,0,0,0,7.413048,0.003407
160,86326.30841,86195.86303,86326.30841,24,0.013472,0.181678,0,0,0,7.608198,0.003407
161,86326.30847,86195.86303,86326.30847,22,0.01307,0.068614,0,0,0,7.689882,0.003407
162,86326.30854,86195.86303,86326.30854,22,0.013193,0.094612,0,0,0,7.797687,0.003407
163,86326.30855,86195.86303,86326.30855,24,0.014339,0.088744,0,0,0,7.90077,0.003407
164,86326.30866,86195.86303,86326.30866,21,0.01249,0.106776,0,0,0,8.020036,0.003407
165,86326.30862,86195.86303,86326.30862,23,0.013603,0.152923,0,0,0,8.186562,0.003407
166,86326.30869,86195.86303,86326.30869,23,0.013568,0.098965,0,0,0,8.299095,0.003407
167,86326.30878,86195.86303,86326.30878,23,0.013751,0.155092,0,0,0,8.467938,0.003407
168,86326.3092,86195.86303,86326.3092,21,0.013009,0.114987,0,0,0,8.595934,0.003407
169,86326.30953,86195.86303,86326.30953,21,0.012692,0.086222,0,0,0,8.694848,0.003407
