23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,gmic_cond_num1,gmic_cond_num2,num_vpc,vpc_gen_time,vpc_apply_time,vpc_cond_num1,vpc_cond_num2,
17,7733.01132751159002509667,7649.86613382250197901158,7733.01132751159002509667,72,0.02126500000000000612,0.07380700000000006700,0.00000000000000000000,13083820983.40389633178710937500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
18,7733.99999999836563802091,7649.86613382250197901158,7733.99999999836563802091,75,0.02213999999999999302,0.05024599999999990185,0.00000000000000000000,11220075538.92670059204101562500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
19,7733.99999999836927599972,7649.86613382250197901158,7733.99999999836927599972,76,0.02434999999999998277,0.04201199999999993828,0.00000000000000000000,17644957497.02773284912109375000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
20,7733.99999999837473296793,7649.86613382250197901158,7733.99999999837473296793,76,0.02739000000000002544,0.07694500000000004114,0.00000000000000000000,25632618763.12230300903320312500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
21,7733.99999999837018549442,7649.86613382250197901158,7733.99999999837018549442,76,0.02781099999999997463,0.09018899999999996364,0.00000000000000000000,13533835582.18990898132324218750,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
22,7733.99999999836927599972,7649.86613382250197901158,7733.99999999836927599972,70,0.02881000000000000227,0.10595399999999988161,0.00000000000000000000,64699586095.41203308105468750000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
23,7734.18109886806723807240,7649.86613382250197901158,7734.18109886806723807240,70,0.02816400000000002235,0.10700500000000001677,0.00000000000000000000,15322829119.92511558532714843750,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
24,7734.99999999919600668363,7649.86613382250197901158,7734.99999999919600668363,74,0.03023899999999996036,0.05203800000000002868,0.00000000000000000000,1860768738.38652873039245605469,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
25,7734.99999999919873516774,7649.86613382250197901158,7734.99999999919873516774,73,0.03337000000000001076,0.14434999999999997833,0.00000000000000000000,19904790928.52663421630859375000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
26,7734.99999999919964466244,7649.86613382250197901158,7734.99999999919964466244,75,0.03211200000000002941,0.09160400000000001874,0.00000000000000000000,26499257185.17921447753906250000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
27,7734.99999999919964466244,7649.86613382250197901158,7734.99999999919964466244,73,0.03419299999999997342,0.09896799999999994490,0.00000000000000000000,16077912988.52797508239746093750,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
28,7734.99999999919600668363,7649.86613382250197901158,7734.99999999919600668363,78,0.03641899999999997917,0.10579500000000008342,0.00000000000000000000,39036044182.00071716308593750000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
29,7734.99999999919600668363,7649.86613382250197901158,7734.99999999919600668363,75,0.03817599999999998772,0.10209800000000002207,0.00000000000000000000,16643100631.04923629760742187500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
30,7734.99999999919873516774,7649.86613382250197901158,7734.99999999919873516774,76,0.04033799999999998498,0.10350900000000007317,0.00000000000000000000,16632816269.42549324035644531250,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
31,7734.99999999919964466244,7649.86613382250197901158,7734.99999999919964466244,78,0.04330300000000009142,0.10835500000000020115,0.00000000000000000000,2845292007.04665279388427734375,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
32,7734.99999999919691617833,7649.86613382250197901158,7734.99999999919691617833,71,0.04170599999999990981,0.12568000000000001393,0.00000000000000000000,36504570713.25466156005859375000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
33,7734.99999999919873516774,7649.86613382250197901158,7734.99999999919873516774,72,0.04360900000000000887,0.11087999999999986755,0.00000000000000000000,30603184004.92506027221679687500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
34,7734.99999999919964466244,7649.86613382250197901158,7734.99999999919964466244,74,0.04485200000000000298,0.11281300000000005213,0.00000000000000000000,31040608647.87191772460937500000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
35,7734.99999999918964022072,7649.86613382250197901158,7734.99999999918964022072,72,0.05416200000000004344,0.20308500000000018204,0.00000000000000000000,35675216315.31703186035156250000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
36,7734.99999999919327819953,7649.86613382250197901158,7734.99999999919327819953,75,0.05245299999999997187,0.11282799999999992835,0.00000000000000000000,22562522512.91505050659179687500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
37,7734.99999999919964466244,7649.86613382250197901158,7734.99999999919964466244,76,0.04613699999999998358,0.14844999999999997087,0.00000000000000000000,17093715966.75138473510742187500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
38,7734.99999999919691617833,7649.86613382250197901158,7734.99999999919691617833,75,0.06213499999999994028,0.24542200000000002902,0.00000000000000000000,25962434409.55822753906250000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
39,7735.05786675539002317237,7649.86613382250197901158,7735.05786675539002317237,73,0.05852699999999999569,0.21601099999999995305,0.00000000000000000000,17913021538.37835311889648437500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
40,7735.99999999908050085651,7649.86613382250197901158,7735.99999999908050085651,75,0.05387100000000000222,0.10403399999999995984,0.00000000000000000000,6063465009.49867439270019531250,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
41,7735.99999999907686287770,7649.86613382250197901158,7735.99999999907686287770,72,0.05138400000000009626,0.25218300000000004601,0.00000000000000000000,10571783071.59337234497070312500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
42,7735.99999999907595338300,7649.86613382250197901158,7735.99999999907595338300,75,0.05191400000000001569,0.20395300000000027296,0.00000000000000000000,14850094959.33782768249511718750,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
