bm23,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
463,24.68335363987992536750,20.57092176323557097817,24.68335363987992536750,9,0.00201299999999998702,0.08089399999999979940,0,0.00000000000000000000,0.00000000000000000000,
464,24.68335464046915461722,20.57092176323557097817,24.68335464046915461722,9,0.00197500000000006004,0.02634600000000020259,0,0.00000000000000000000,0.00000000000000000000,
465,24.68335353187314851198,20.57092176323557097817,24.68335353187314851198,10,0.00215499999999990699,0.04568200000000022243,0,0.00000000000000000000,0.00000000000000000000,
466,24.68335400778199328897,20.57092176323557097817,24.68335400778199328897,10,0.00214400000000003477,0.02375300000000013512,0,0.00000000000000000000,0.00000000000000000000,
467,24.68335366669198549516,20.57092176323557097817,24.68335366669198549516,9,0.00203600000000003778,0.04275900000000021350,0,0.00000000000000000000,0.00000000000000000000,
468,24.68335376767075572957,20.57092176323557097817,24.68335376767075572957,9,0.00203500000000000902,0.02735899999999968912,0,0.00000000000000000000,0.00000000000000000000,
469,24.68335478390554271755,20.57092176323557097817,24.68335478390554271755,10,0.00208399999999997476,0.08361399999999985511,0,0.00000000000000000000,0.00000000000000000000,
470,24.68335397996778013407,20.57092176323557097817,24.68335397996778013407,9,0.00220600000000004126,0.04578300000000012915,0,0.00000000000000000000,0.00000000000000000000,
471,24.68335440498753641236,20.57092176323557097817,24.68335440498753641236,9,0.00193599999999993777,0.01776500000000069690,0,0.00000000000000000000,0.00000000000000000000,
472,24.68335451080692521941,20.57092176323557097817,24.68335451080692521941,9,0.00177199999999999580,0.03080100000000030036,0,0.00000000000000000000,0.00000000000000000000,
473,24.68335526927906897754,20.57092176323557097817,24.68335526927906897754,9,0.00208099999999999952,0.13235000000000063380,0,0.00000000000000000000,0.00000000000000000000,
474,24.68335445724541443724,20.57092176323557097817,24.68335445724541443724,10,0.00214199999999997726,0.03900199999999998113,0,0.00000000000000000000,0.00000000000000000000,
475,24.68335455217231455549,20.57092176323557097817,24.68335455217231455549,10,0.00202500000000005453,0.03738300000000016610,0,0.00000000000000000000,0.00000000000000000000,
476,24.68335498842223785232,20.57092176323557097817,24.68335498842223785232,8,0.00176299999999995904,0.01615199999999994418,0,0.00000000000000000000,0.00000000000000000000,
477,24.68335381602549105651,20.57092176323557097817,24.68335381602549105651,9,0.00196200000000001928,0.06608199999999975205,0,0.00000000000000000000,0.00000000000000000000,
478,24.68335449446488283343,20.57092176323557097817,24.68335449446488283343,10,0.00230799999999997674,0.04480000000000039506,0,0.00000000000000000000,0.00000000000000000000,
479,24.68335505496241921719,20.57092176323557097817,24.68335505496241921719,10,0.00216700000000003001,0.05671599999999976660,0,0.00000000000000000000,0.00000000000000000000,
480,24.68335465758620372867,20.57092176323557097817,24.68335465758620372867,9,0.00196899999999999853,0.03811199999999992372,0,0.00000000000000000000,0.00000000000000000000,
481,24.68335490289128486552,20.57092176323557097817,24.68335490289128486552,10,0.00217800000000001326,0.03953700000000015535,0,0.00000000000000000000,0.00000000000000000000,
482,24.68335444524943866895,20.57092176323557097817,24.68335444524943866895,10,0.00227599999999994473,0.11679999999999957083,0,0.00000000000000000000,0.00000000000000000000,
483,24.68335445341562817134,20.57092176323557097817,24.68335445341562817134,8,0.00193600000000004879,0.04580800000000007088,0,0.00000000000000000000,0.00000000000000000000,
484,24.68335442970715121191,20.57092176323557097817,24.68335442970715121191,9,0.00196600000000002328,0.03890200000000021419,0,0.00000000000000000000,0.00000000000000000000,
485,24.68335465060565425688,20.57092176323557097817,24.68335465060565425688,8,0.00168800000000002282,0.02215800000000012204,0,0.00000000000000000000,0.00000000000000000000,
486,24.68335478973235197486,20.57092176323557097817,24.68335478973235197486,8,0.00179999999999991278,0.02812700000000045719,0,0.00000000000000000000,0.00000000000000000000,
487,24.68335471608026665535,20.57092176323557097817,24.68335471608026665535,9,0.00212400000000001477,0.05331699999999983675,0,0.00000000000000000000,0.00000000000000000000,
488,24.68335504901995491878,20.57092176323557097817,24.68335504901995491878,7,0.00178400000000000780,0.02799499999999977007,0,0.00000000000000000000,0.00000000000000000000,
489,24.68335476059592181741,20.57092176323557097817,24.68335476059592181741,10,0.00227399999999999824,0.04583199999999987284,0,0.00000000000000000000,0.00000000000000000000,
490,24.68335522816328975182,20.57092176323557097817,24.68335522816328975182,10,0.00223499999999998700,0.19204299999999996373,0,0.00000000000000000000,0.00000000000000000000,
491,24.68335489890086265063,20.57092176323557097817,24.68335489890086265063,9,0.00194899999999997853,0.08513199999999976342,0,0.00000000000000000000,0.00000000000000000000,
